epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
75,23280.6,0.03799,0.94106,0.98821,0.30172,0.002674,0.002674,0.002674
76,23469.5,0.03628,0.94155,0.98821,0.30044,0.002575,0.002575,0.002575
77,23658.2,0.03659,0.94106,0.98821,0.30035,0.002476,0.002476,0.002476
78,23846.8,0.03386,0.94057,0.98772,0.29991,0.002377,0.002377,0.002377
79,24035.8,0.03456,0.94106,0.98772,0.30309,0.002278,0.002278,0.002278
80,24224.3,0.03169,0.94106,0.98821,0.29994,0.002179,0.002179,0.002179
81,24413,0.0306,0.94106,0.98821,0.2996,0.00208,0.00208,0.00208
82,24601.4,0.02622,0.94106,0.98821,0.29933,0.001981,0.001981,0.001981
83,24791,0.0237,0.94106,0.98821,0.30676,0.001882,0.001882,0.001882
84,24981.1,0.02234,0.94057,0.98821,0.29959,0.001783,0.001783,0.001783
85,25171.5,0.02386,0.94057,0.98821,0.30656,0.001684,0.001684,0.001684
86,25362.6,0.01973,0.94106,0.9887,0.30914,0.001585,0.001585,0.001585
87,25551.9,0.01903,0.94106,0.9887,0.29932,0.001486,0.001486,0.001486
88,25741.1,0.01887,0.94204,0.9887,0.29968,0.001387,0.001387,0.001387
89,25930.9,0.01312,0.94155,0.98919,0.29997,0.001288,0.001288,0.001288
90,26121.1,0.01839,0.94204,0.9887,0.3029,0.001189,0.001189,0.001189
