epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,454.804,0.01119,0.9391,0.98625,0.3291,3.19816e-05,3.19816e-05,3.19816e-05
2,888.281,0.01675,0.93271,0.98723,0.3866,5.76474e-05,5.76474e-05,5.76474e-05
3,1320.98,0.02189,0.93664,0.98674,0.33765,7.69773e-05,7.69773e-05,7.69773e-05
4,1753.72,0.02144,0.93762,0.98772,0.33912,6.7488e-05,6.7488e-05,6.7488e-05
5,2184.94,0.02266,0.93762,0.98723,0.34982,5.7984e-05,5.7984e-05,5.7984e-05
6,2616.26,0.0182,0.93517,0.98821,0.33595,4.848e-05,4.848e-05,4.848e-05
7,3048.84,0.01446,0.93811,0.98821,0.32159,3.8976e-05,3.8976e-05,3.8976e-05
8,3480.41,0.01774,0.93369,0.98772,0.32973,2.9472e-05,2.9472e-05,2.9472e-05
9,3911.65,0.01317,0.93615,0.98772,0.31598,1.9968e-05,1.9968e-05,1.9968e-05
10,4342.22,0.0137,0.93959,0.98723,0.31665,1.0464e-05,1.0464e-05,1.0464e-05
